#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
status_of_women;Status of Women;;;;;;;;;;;;x
status_of_women_desc;Women's Status Laws determine which women, if any, you can appoint to council positions, which gender laws are available, and whether women can hunt or lead troops. Departing from traditional gender norms costs large amounts of piety, and is unpopular with religious authorities.;;;;;;;;;;;;;x
statusofwomen_0_option;Trad.;;;;;;;;;;;;;x
statusofwomen_0;Traditional Status of Women;;;;;;;;;;;;;x
statusofwomen_0_desc;Women's status is determined solely by the traditions of your §Y[Root.Culture.GetName]§! Culture and §Y[Root.Religion.GetName]§! Religion;;;;;;;;;;;;;x
statusofwomen_1_option;Marginal;;;;;;;;;;;;;x
statusofwomen_1;Marginal Status of Women;;;;;;;;;;;;;x
statusofwomen_1_desc;Although women are seen as less than men, in the shadows blood-ties, trust, and connections count for far more\n;;;;;;;;;;;;;x
statusofwomen_2;Limited Status of Women;;;;;;;;;;;;;x
statusofwomen_2_option;Limited;;;;;;;;;;;;;x
statusofwomen_2_desc;Although women are seen as less than men, married women, widows and women religious are recognised as equals in the arts of truck and barter, due their role in the management of their husband's or religion's estates\n;;;;;;;;;;;;;x
statusofwomen_3_option;Moderate;;;;;;;;;;;;;x
statusofwomen_3;Moderate Status of Women;;;;;;;;;;;;;x
statusofwomen_3_desc;Although most women are seen as less than men, the most powerful and well connected noble women are recognised as equals in those arts not barred to them by the frailty of their flesh\n;;;;;;;;;;;;;x
statusofwomen_4_option;Notable;;;;;;;;;;;;;x
statusofwomen_4;Notable Status of Women;;;;;;;;;;;;;x
statusofwomen_4_desc;Although most women are seen as less than men, the most powerful and well connected noble women are recognised as true equals\n;;;;;;;;;;;;;x
statusofwomen_effect_spymaster_yes;(§G*§!) §Y[Root.GetSpymasterName]§!: Allow female dynasty, female consorts & lovers\n;;;;;;;;;;;x
statusofwomen_effect_spymaster_no;(§RX§!)§Y[Root.GetSpymasterName]§!: Allow female dynasty, female consorts & lovers\n;;;;;;;;;;;x
statusofwomen_effect_spymaster_pagan;(§G*§!) §Y[Root.GetSpymasterName]§!: Allow all §Y[Root.Religion.GetGroupName]§! women\n;;;;;;;;;;;x
statusofwomen_effect_spymaster_religion;(§G*§!) §Y[Root.GetSpymasterName]§!: Allow all §Y[Root.Religion.GetName]§! women\n;;;;;;;;;;;x
statusofwomen_effect_treasurer_yes;(§G*§!) §Y[Root.GetTreasurerName]§!: Allow married, widowed & religious women\n;;;;;;;;;;;x
statusofwomen_effect_treasurer_no;(§RX§!) §Y[Root.GetTreasurerName]§!: Allow married, widowed & religious women\n;;;;;;;;;;;x
statusofwomen_effect_treasurer_religion;(§G*§!) §Y[Root.GetTreasurerName]§!: Allow all §Y[Root.Religion.GetName]§! women\n;;;;;;;;;;;x
statusofwomen_effect_chancellor_yes;(§G*§!) §Y[Root.GetChancellorName]§!: Allow wife, mother, female dynasty & women holding landed titles\n;;;;;;;;;;;x
statusofwomen_effect_chancellor_no;(§RX§!) §Y[Root.GetChancellorName]§!: Allow wife, mother, female dynasty & women holding landed titles\n;;;;;;;;;;;x
